gas,variable
BC,Emissions|BC|AFOLU|Agriculture (Mt BC/yr)
BC,Emissions|BC|AFOLU|Land|Fires (Mt BC/yr)
BC,Emissions|BC|AFOLU|Land|Fires|Forest Burning (Mt BC/yr)
BC,Emissions|BC|AFOLU|Land|Fires|Forest Burning|Boreal Forest (Mt BC/yr)
BC,Emissions|BC|AFOLU|Land|Fires|Forest Burning|Temperate Forest (Mt BC/yr)
BC,Emissions|BC|AFOLU|Land|Fires|Forest Burning|Tropical Forest (Mt BC/yr)
BC,Emissions|BC|AFOLU|Land|Fires|Grassland Burning (Mt BC/yr)
BC,Emissions|BC|AFOLU|Land|Fires|Peat Burning (Mt BC/yr)
BC,Emissions|BC|Land|Biomass Burning|Burning of Crop Residues (Mt BC/yr)
CH4,Emissions|CH4|AFOLU|Land|Fires (Mt CH4/yr)
CH4,Emissions|CH4|AFOLU|Land|Fires|Forest Burning (Mt CH4/yr)
CH4,Emissions|CH4|AFOLU|Land|Fires|Forest Burning|Boreal Forest (Mt CH4/yr)
CH4,Emissions|CH4|AFOLU|Land|Fires|Forest Burning|Temperate Forest (Mt CH4/yr)
CH4,Emissions|CH4|AFOLU|Land|Fires|Forest Burning|Tropical Forest (Mt CH4/yr)
CH4,Emissions|CH4|AFOLU|Land|Fires|Grassland Burning (Mt CH4/yr)
CH4,Emissions|CH4|AFOLU|Land|Fires|Peat Burning (Mt CH4/yr)
CH4,Emissions|CH4|Land (Mt CH4/yr)
CH4,Emissions|CH4|Land|Agriculture (Mt CH4/yr)
CH4,Emissions|CH4|Land|Agriculture|Animal waste management (Mt CH4/yr)
CH4,Emissions|CH4|Land|Agriculture|Enteric fermentation (Mt CH4/yr)
CH4,Emissions|CH4|Land|Agriculture|Rice (Mt CH4/yr)
CH4,Emissions|CH4|Land|Biomass Burning|Burning of Crop Residues (Mt CH4/yr)
CH4,Emissions|CH4|Land|Peatland|Managed (Mt CH4/yr)
CO,Emissions|CO|AFOLU|Agriculture (Mt CO/yr)
CO,Emissions|CO|AFOLU|Land|Fires (Mt CO/yr)
CO,Emissions|CO|AFOLU|Land|Fires|Forest Burning (Mt CO/yr)
CO,Emissions|CO|AFOLU|Land|Fires|Forest Burning|Boreal Forest (Mt CO/yr)
CO,Emissions|CO|AFOLU|Land|Fires|Forest Burning|Temperate Forest (Mt CO/yr)
CO,Emissions|CO|AFOLU|Land|Fires|Forest Burning|Tropical Forest (Mt CO/yr)
CO,Emissions|CO|AFOLU|Land|Fires|Grassland Burning (Mt CO/yr)
CO,Emissions|CO|AFOLU|Land|Fires|Peat Burning (Mt CO/yr)
CO,Emissions|CO|Land|Biomass Burning|Burning of Crop Residues (Mt CO/yr)
CO2,Emissions|CO2|AFOLU|Agriculture (Mt CO2/yr)
CO2,Emissions|CO2|AFOLU|Land|Fires (Mt CO2/yr)
CO2,Emissions|CO2|AFOLU|Land|Fires|Forest Burning (Mt CO2/yr)
CO2,Emissions|CO2|AFOLU|Land|Fires|Forest Burning|Boreal Forest (Mt CO2/yr)
CO2,Emissions|CO2|AFOLU|Land|Fires|Forest Burning|Temperate Forest (Mt CO2/yr)
CO2,Emissions|CO2|AFOLU|Land|Fires|Forest Burning|Tropical Forest (Mt CO2/yr)
CO2,Emissions|CO2|AFOLU|Land|Fires|Grassland Burning (Mt CO2/yr)
CO2,Emissions|CO2|AFOLU|Land|Fires|Peat Burning (Mt CO2/yr)
CO2,Emissions|CO2|Land (Mt CO2/yr)
CO2,Emissions|CO2|Land|Biomass Burning|Burning of Crop Residues (Mt CO2/yr)
CO2,Emissions|CO2|Land|Indirect (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Deforestation (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Deforestation|Cropland Tree Cover (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Deforestation|Forestry plantations (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Deforestation|Primary forests (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Deforestation|Secondary forests (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Forest degradation (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Forest degradation|Primary forests (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Forest degradation|Secondary forests (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Other land conversion (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Peatland (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Peatland|Negative (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Peatland|Positive (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR|Natural Forest (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR|Plantation (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|Cropland Tree Cover (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|Other Land (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|Secondary Forest (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Regrowth|Timber Plantations (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Residual (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Residual|Negative (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Residual|Positive (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Cropland management (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Cropland management|Emissions (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Cropland management|Withdrawals (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Land Conversion (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Land Conversion|Emissions (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Land Conversion|Withdrawals (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|Emissions (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|Withdrawals (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Timber (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Timber|Release from HWP (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Timber|Release from HWP|Buildings (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Timber|Release from HWP|Industrial Roundwood (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Timber|Storage in HWP (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Timber|Storage in HWP|Buildings (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Timber|Storage in HWP|Industrial Roundwood (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Wood Harvest (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Wood Harvest|Other Land (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Wood Harvest|Primary Forest (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Wood Harvest|Secondary Forest (Mt CO2/yr)
CO2,Emissions|CO2|Land|Land-use Change|Wood Harvest|Timber Plantations (Mt CO2/yr)
N2O,Emissions|N2O|AFOLU|Land|Fires (Mt N2O/yr)
N2O,Emissions|N2O|AFOLU|Land|Fires|Forest Burning (Mt N2O/yr)
N2O,Emissions|N2O|AFOLU|Land|Fires|Forest Burning|Boreal Forest (Mt N2O/yr)
N2O,Emissions|N2O|AFOLU|Land|Fires|Forest Burning|Temperate Forest (Mt N2O/yr)
N2O,Emissions|N2O|AFOLU|Land|Fires|Forest Burning|Tropical Forest (Mt N2O/yr)
N2O,Emissions|N2O|AFOLU|Land|Fires|Grassland Burning (Mt N2O/yr)
