Name,Variables
Emissions|CO2|Total,Energy|Demand|Bunkers
Emissions|CO2|Total,Energy|Demand|Industry
Emissions|CO2|Total,Energy|Demand|Residential and Commercial
Emissions|CO2|Total,Energy|Demand|Transportation
Emissions|CO2|Total,Energy|Supply
Emissions|CO2|Total,AFOLU
Emissions|CO2|Total,Industrial Processes
Emissions|CO2|Total,Energy|Demand|Direct Air Capture
Emissions|CO2|Total,Validation
Emissions|CO2|Total,
Emissions|CO2|Total,VAL
Emissions|CO2|Cumulated,Cumulated
Emissions|CO2|Cumulated,Budget1p5C
Emissions|CO2|Cumulated,Budget2C
Final Energy|Sector,Industry
Final Energy|Sector,Transportation
Final Energy|Sector,Residential and Commercial
Final Energy|Sector,Validation
Final Energy|Sector,VAL
Final Energy|Sector,Industry|VAL
Final Energy|Sector,Transportation|VAL
Final Energy|Sector,Industry|Validation
Final Energy|Sector,Transportation|Validation
Final Energy|Sector,Non-Energy Use
Final Energy|Sector,Bunkers
Final Energy|Fuel,Solids
Final Energy|Fuel,Hydrogen
Final Energy|Fuel,Gas
Final Energy|Fuel,Electricity
Final Energy|Fuel,Fossil Liquids
Final Energy|Fuel,Heat
Final Energy|Fuel,Other fuels
Final Energy|Fuel,Validation
Final Energy|Fuel,VAL
Final Energy|Fuel,Biofuels
Secondary Energy|Electricity|Total,Solar
Secondary Energy|Electricity|Total,Oil
Secondary Energy|Electricity|Total,Wind
Secondary Energy|Electricity|Total,Coal
Secondary Energy|Electricity|Total,Gas
Secondary Energy|Electricity|Total,Nuclear
Secondary Energy|Electricity|Total,Biofuels
Secondary Energy|Electricity|Total,Hydro
Secondary Energy|Electricity|Total,Geothermal and other renewable sources
Secondary Energy|Electricity|Total,Hydrogen
Secondary Energy|Electricity|Total,Heat
Secondary Energy|Electricity|Total,Demand
Secondary Energy|Electricity|Total,VAL
Secondary Energy|Electricity|Total,Validation
Secondary Energy|Electricity|CCS,Biofuels|w/ CCS
Secondary Energy|Electricity|CCS,Biofuels|w/o CCS
Secondary Energy|Electricity|CCS,Coal|w/ CCS
Secondary Energy|Electricity|CCS,Coal|w/o CCS
Secondary Energy|Electricity|CCS,Gas|w/ CCS
Secondary Energy|Electricity|CCS,Gas|w/o CCS
Capacity|Electricity|Total,Solar
Capacity|Electricity|Total,Oil
Capacity|Electricity|Total,Wind
Capacity|Electricity|Total,Coal
Capacity|Electricity|Total,Gas
Capacity|Electricity|Total,Nuclear
Capacity|Electricity|Total,Biofuels
Capacity|Electricity|Total,Geothermal and other renewable sources
Capacity|Electricity|Total,Hydro
Capacity|Electricity|Total,Hydrogen
Capacity|Electricity|Total,VAL
Price|Carbon,Carbon
Gross Inland Consumption|Biofuels,Biofuels
